epoch,train_loss,val_aee,best_val_aee,is_best,stale_epochs,early_stopped
1,1.2015258983561867,2.285017704963684,2.285017704963684,True,0,False
2,1.1543330612935518,2.2960636734962465,2.285017704963684,False,1,False
3,1.1526893628271002,2.2974256455898283,2.285017704963684,False,2,False
4,1.1488118265804492,2.2595086812973024,2.2595086812973024,True,0,False
5,1.1479452064162807,2.2648184657096864,2.2595086812973024,False,1,False
6,1.1327218287869503,2.3061031877994536,2.2595086812973024,False,2,False
7,1.1154249906539917,2.239871269464493,2.239871269464493,True,0,False
8,1.1267348967100446,2.242968702316284,2.239871269464493,False,1,False
9,1.1321199348098354,2.2627436935901644,2.239871269464493,False,2,False
10,1.1079906036979275,2.1935184717178347,2.1935184717178347,True,0,False
11,1.0951627743871588,2.1937404572963715,2.1935184717178347,False,1,False
12,1.0748712326350964,2.158281481266022,2.158281481266022,True,0,False
13,1.0882125747831244,2.1662761747837065,2.158281481266022,False,1,False
14,1.056557689842425,2.154303902387619,2.154303902387619,True,0,False
15,1.03879629938226,2.111789679527283,2.111789679527283,True,0,False
16,1.0445818430499028,2.1336598992347717,2.111789679527283,False,1,False
17,1.0400818523607755,2.0754009008407595,2.0754009008407595,True,0,False
18,1.031194059472335,2.072470408678055,2.072470408678055,True,0,False
19,1.0237074055169757,2.0716353714466096,2.072470408678055,False,1,False
20,1.0234102606773376,2.117916488647461,2.072470408678055,False,2,False
21,1.010301897400304,2.033105993270874,2.033105993270874,True,0,False
22,0.9936177510964243,2.009765160083771,2.009765160083771,True,0,False
23,0.9874708840721532,1.9999020934104919,1.9999020934104919,True,0,False
24,0.9843521871064839,2.0825995981693266,1.9999020934104919,False,1,False
25,0.9798550417548731,2.048152381181717,1.9999020934104919,False,2,False
26,0.976938435905858,1.9873026788234711,1.9873026788234711,True,0,False
27,0.9600098415424949,2.070921504497528,1.9873026788234711,False,1,False
28,0.9695115685462952,1.9814237534999848,1.9814237534999848,True,0,False
29,0.9542439423109356,2.0371576309204102,1.9814237534999848,False,1,False
30,0.9455292820930481,1.9265900075435638,1.9265900075435638,True,0,False
31,0.9832158763157693,1.9440430581569672,1.9265900075435638,False,1,False
32,0.9515867437186994,1.9563034057617188,1.9265900075435638,False,2,False
33,0.9347466481359381,1.9477587401866914,1.9265900075435638,False,3,False
34,0.9490133429828443,2.066795343160629,1.9265900075435638,False,4,False
35,0.951256275177002,1.923171192407608,1.923171192407608,True,0,False
36,0.940928506223779,1.9055821418762207,1.9055821418762207,True,0,False
37,0.9338962435722351,1.9770113348960876,1.9055821418762207,False,1,False
38,0.9054051794503865,1.9094211220741273,1.9055821418762207,False,2,False
39,0.9062501850881075,1.9369414687156676,1.9055821418762207,False,3,False
40,0.9020160279775921,1.9195337057113648,1.9055821418762207,False,4,False
41,0.9054275217809176,1.9299853205680848,1.9055821418762207,False,5,False
42,0.9089187415022599,1.9526569247245789,1.9055821418762207,False,6,False
43,0.8870433866977692,1.9631325244903564,1.9055821418762207,False,7,False
44,0.9031553237061751,2.1765982508659363,1.9055821418762207,False,8,False
45,0.8940726330405787,1.9448696672916412,1.9055821418762207,False,9,False
46,0.8927517470560575,1.9116265892982482,1.9055821418762207,False,10,True
