epoch,train_loss,val_aee,best_val_aee,is_best,stale_epochs,early_stopped
1,1.2089431913275468,2.317148834466934,2.317148834466934,True,0,False
2,1.163391599529668,2.344131261110306,2.317148834466934,False,1,False
3,1.1602180411941128,2.3534593641757966,2.317148834466934,False,2,False
4,1.1634034420314587,2.354362851381302,2.317148834466934,False,3,False
5,1.1570406116937335,2.3124188005924227,2.3124188005924227,True,0,False
6,1.143875285198814,2.3171194195747375,2.3124188005924227,False,1,False
7,1.1163211213914972,2.2916185319423676,2.2916185319423676,True,0,False
8,1.1037109023646305,2.2678535163402556,2.2678535163402556,True,0,False
9,1.0966997052493848,2.2614538729190827,2.2614538729190827,True,0,False
10,1.0837215091052808,2.2013621628284454,2.2013621628284454,True,0,False
11,1.0890827429922003,2.202984541654587,2.2013621628284454,False,1,False
12,1.106716469714516,2.2185698986053466,2.2013621628284454,False,2,False
13,1.0964177376345585,2.2093345701694487,2.2013621628284454,False,3,False
14,1.0605784968325966,2.174332982301712,2.174332982301712,True,0,False
15,1.0618458672573692,2.1564270853996277,2.1564270853996277,True,0,False
16,1.082610497349187,2.20876944065094,2.1564270853996277,False,1,False
17,1.0785668711913259,2.2037155389785767,2.1564270853996277,False,2,False
18,1.0550855084469444,2.1419886648654938,2.1419886648654938,True,0,False
19,1.0453069178681624,2.1894636332988737,2.1419886648654938,False,1,False
20,1.0251350465573763,2.205350548028946,2.1419886648654938,False,2,False
21,1.0181878397339268,2.0682390213012694,2.0682390213012694,True,0,False
22,0.9981923668008101,2.0359611570835114,2.0359611570835114,True,0,False
23,0.9885505218254892,2.015053206682205,2.015053206682205,True,0,False
24,0.9929563434500444,2.0204956114292143,2.015053206682205,False,1,False
25,0.9731373284992418,1.9660998344421388,1.9660998344421388,True,0,False
26,0.9826981111576683,1.991573029756546,1.9660998344421388,False,1,False
27,0.9778055987860027,2.128520500659943,1.9660998344421388,False,2,False
28,0.988061177103143,1.9995931565761567,1.9660998344421388,False,3,False
29,0.9665073595548931,1.9413089513778687,1.9413089513778687,True,0,False
30,0.948347480673539,1.9196160554885864,1.9196160554885864,True,0,False
31,0.9642655661231593,1.9289834797382355,1.9196160554885864,False,1,False
32,0.9433507825198927,1.9276475965976716,1.9196160554885864,False,2,False
33,0.9331657384571276,1.9306836605072022,1.9196160554885864,False,3,False
34,0.9672313018849021,1.9736170291900634,1.9196160554885864,False,4,False
35,0.9573015037335848,1.9563597202301026,1.9196160554885864,False,5,False
36,0.928038992379841,1.9026044189929963,1.9026044189929963,True,0,False
37,0.9227825779663889,1.9471199631690979,1.9026044189929963,False,1,False
38,0.9025947984896208,1.8975054681301118,1.8975054681301118,True,0,False
39,0.9136705680897361,1.9853263437747954,1.8975054681301118,False,1,False
40,0.9020250282789531,1.9727336049079895,1.8975054681301118,False,2,False
41,0.8970938042590493,1.9563893616199493,1.8975054681301118,False,3,False
42,0.9104304690110055,1.8982197165489196,1.8975054681301118,False,4,False
43,0.8874514887207433,1.920193648338318,1.8975054681301118,False,5,False
44,0.9060547289095426,2.1030660271644592,1.8975054681301118,False,6,False
45,0.9040109358335796,1.9161629498004913,1.8975054681301118,False,7,False
46,0.8818321196656478,1.905069226026535,1.8975054681301118,False,8,False
47,0.8733634760505274,1.8986876130104064,1.8975054681301118,False,9,False
48,0.8827186760149504,1.924138879776001,1.8975054681301118,False,10,True
