epoch,train_loss,val_aee,best_val_aee,is_best,stale_epochs,early_stopped
1,1.2190400393385636,2.3252710103988647,2.3252710103988647,True,0,False
2,1.175223774031589,2.3720622837543486,2.3252710103988647,False,1,False
3,1.158426843191448,2.364615774154663,2.3252710103988647,False,2,False
4,1.1652236831815619,2.348400855064392,2.3252710103988647,False,3,False
5,1.1636028697616176,2.346104454994202,2.3252710103988647,False,4,False
6,1.1546059595911127,2.3644108355045317,2.3252710103988647,False,5,False
7,1.1479610392921848,2.3867144167423247,2.3252710103988647,False,6,False
8,1.1599355936050415,2.355857676267624,2.3252710103988647,False,7,False
9,1.1576864938986928,2.3459976255893706,2.3252710103988647,False,8,False
10,1.1507903557074697,2.313090717792511,2.313090717792511,True,0,False
11,1.1349200669087862,2.243669366836548,2.243669366836548,True,0,False
12,1.1579181677416752,2.289162999391556,2.243669366836548,False,1,False
13,1.132587781077937,2.2621629297733308,2.243669366836548,False,2,False
14,1.106171190738678,2.2398149251937864,2.2398149251937864,True,0,False
15,1.1060735489192761,2.244186294078827,2.2398149251937864,False,1,False
16,1.10426989668294,2.262474900484085,2.2398149251937864,False,2,False
17,1.1101063646768268,2.2346126794815064,2.2346126794815064,True,0,False
18,1.1170743766583895,2.2441953241825106,2.2346126794815064,False,1,False
19,1.1094309279793186,2.242662900686264,2.2346126794815064,False,2,False
20,1.0937161382875944,2.321086210012436,2.2346126794815064,False,3,False
21,1.0949862568001998,2.2292976319789886,2.2292976319789886,True,0,False
22,1.0881765578922473,2.2314594089984894,2.2292976319789886,False,1,False
23,1.0840940475463867,2.216227185726166,2.216227185726166,True,0,False
24,1.087974538928584,2.1892493724823,2.1892493724823,True,0,False
25,1.1099347001627873,2.2414896845817567,2.1892493724823,False,1,False
26,1.0976643938767283,2.2392800211906434,2.1892493724823,False,2,False
27,1.0751345690928007,2.419322943687439,2.1892493724823,False,3,False
28,1.0869593588929427,2.2543177723884584,2.1892493724823,False,4,False
29,1.0870801680966427,2.2121470510959624,2.1892493724823,False,5,False
30,1.0899530900152106,2.2048143565654756,2.1892493724823,False,6,False
31,1.0895132642043264,2.1984926581382753,2.1892493724823,False,7,False
32,1.0866116818628813,2.1960701406002046,2.1892493724823,False,8,False
33,1.0792628809025413,2.2053261399269104,2.1892493724823,False,9,False
34,1.075583577156067,2.208615779876709,2.1892493724823,False,10,True
