dataset,method,method_label,epoch,train_loss,train_accuracy,val_loss,val_accuracy,best_val_accuracy,no_improve
nmnist,binary_event_image,Binary Event Image,23,0.015696,0.995093,0.251793,0.943833,0.9565,
nmnist,binary_event_image,Binary Event Image,24,0.01326,0.995852,0.239956,0.9475,0.9565,
nmnist,binary_event_image,Binary Event Image,25,0.013994,0.995944,0.232073,0.945167,0.9565,
nmnist,binary_event_image,Binary Event Image,26,0.012903,0.996074,0.233078,0.948167,0.9565,
nmnist,timestamp_image,Timestamp Image,1,0.213044,0.934241,0.139381,0.957,0.957,
nmnist,timestamp_image,Timestamp Image,2,0.086639,0.972741,0.102515,0.964167,0.964167,
nmnist,timestamp_image,Timestamp Image,3,0.061034,0.980611,0.067551,0.978667,0.978667,
nmnist,timestamp_image,Timestamp Image,4,0.045795,0.985241,0.08873,0.972667,0.978667,
nmnist,timestamp_image,Timestamp Image,5,0.03661,0.988093,0.065926,0.979167,0.979167,
nmnist,timestamp_image,Timestamp Image,6,0.030039,0.990444,0.051529,0.984833,0.984833,
nmnist,timestamp_image,Timestamp Image,7,0.024051,0.992574,0.054932,0.983167,0.984833,
nmnist,timestamp_image,Timestamp Image,8,0.02056,0.993278,0.101504,0.972167,0.984833,
nmnist,timestamp_image,Timestamp Image,9,0.01941,0.994019,0.056397,0.983333,0.984833,
nmnist,timestamp_image,Timestamp Image,10,0.016441,0.994963,0.053618,0.9835,0.984833,
nmnist,timestamp_image,Timestamp Image,11,0.016067,0.994852,0.084079,0.9785,0.984833,
nmnist,timestamp_image,Timestamp Image,12,0.014283,0.995741,0.062748,0.981667,0.984833,
nmnist,timestamp_image,Timestamp Image,13,0.013674,0.995444,0.068536,0.982333,0.984833,
nmnist,timestamp_image,Timestamp Image,14,0.012392,0.996463,0.070282,0.982833,0.984833,
nmnist,timestamp_image,Timestamp Image,15,0.010819,0.996611,0.065525,0.983167,0.984833,
nmnist,timestamp_image,Timestamp Image,16,0.01197,0.996519,0.06133,0.982167,0.984833,
nmnist,time_surface,Time Surface,1,0.197492,0.939315,0.143975,0.955333,0.955333,
nmnist,time_surface,Time Surface,2,0.078807,0.974833,0.086025,0.971667,0.971667,
nmnist,time_surface,Time Surface,3,0.053755,0.983463,0.077337,0.974667,0.974667,
nmnist,time_surface,Time Surface,4,0.041,0.986704,0.082393,0.974167,0.974667,
nmnist,time_surface,Time Surface,5,0.033022,0.989185,0.060937,0.982667,0.982667,
nmnist,time_surface,Time Surface,6,0.025285,0.99213,0.053648,0.984667,0.984667,
nmnist,time_surface,Time Surface,7,0.022859,0.992667,0.057407,0.982667,0.984667,
nmnist,time_surface,Time Surface,8,0.017723,0.994537,0.05596,0.984333,0.984667,
nmnist,time_surface,Time Surface,9,0.016684,0.995074,0.081109,0.978667,0.984667,
nmnist,time_surface,Time Surface,10,0.015609,0.995204,0.051275,0.985333,0.985333,
nmnist,time_surface,Time Surface,11,0.014087,0.995704,0.062323,0.984,0.985333,
nmnist,time_surface,Time Surface,12,0.012434,0.996556,0.066176,0.980833,0.985333,
nmnist,time_surface,Time Surface,13,0.012319,0.996074,0.052831,0.986,0.986,
nmnist,time_surface,Time Surface,14,0.010879,0.996741,0.073404,0.9805,0.986,
nmnist,time_surface,Time Surface,15,0.011483,0.996889,0.052076,0.987667,0.987667,
nmnist,time_surface,Time Surface,16,0.010095,0.996852,0.065728,0.983333,0.987667,
nmnist,time_surface,Time Surface,17,0.00942,0.997278,0.059255,0.985333,0.987667,
nmnist,time_surface,Time Surface,18,0.009726,0.997333,0.052959,0.986167,0.987667,
nmnist,time_surface,Time Surface,19,0.008846,0.997389,0.050505,0.986,0.987667,
nmnist,time_surface,Time Surface,20,0.007478,0.997963,0.058152,0.987333,0.987667,
