dataset,group,method,best_test_accuracy_pct,epoch1_train_accuracy_pct,final_train_loss,epochs,actual_epochs,batch_size,lr,weight_decay,seed,max_events,train_limit,test_limit,device,in_channels,source,note
nmnist,Learning-based,EvRepSL,100.0,97.17,0.001493,10,10,32,0.0001,0.0001,42,50000,2048,512,CPU,3,outputs/learning_classification/nmnist/20260508_cpu_extra/results/evrepsl/evrepsl_nmnist.json,local sanity-scale run; not a full official-split benchmark
nmnist,Learning-based,EST,100.0,96.88,0.001667,10,10,32,0.0001,0.0001,42,50000,2048,512,CPU,18,outputs/learning_classification/nmnist/20260508_cpu/results/est/est_nmnist.json,local sanity-scale run; not a full official-split benchmark
nmnist,Learning-based,Event Pre-training,100.0,96.78,0.001584,10,10,32,0.0001,0.0001,42,50000,2048,512,CPU,2,outputs/learning_classification/nmnist/20260508_cpu/results/event_pretraining/event_pretraining_nmnist.json,local sanity-scale run; not a full official-split benchmark
nmnist,Learning-based,OmniEvent,100.0,96.78,0.00174,10,10,32,0.0001,0.0001,42,50000,2048,512,CPU,8,outputs/learning_classification/nmnist/20260508_cpu_extra/results/omnievent/omnievent_nmnist.json,local sanity-scale run; not a full official-split benchmark
nmnist,Learning-based,GET,100.0,96.53,0.001591,10,10,32,0.0001,0.0001,42,50000,2048,512,CPU,12,outputs/learning_classification/nmnist/20260508_cpu_extra/results/get/get_nmnist.json,local sanity-scale run; not a full official-split benchmark
nmnist,Learning-based,ERGO,100.0,96.48,0.001643,10,10,32,0.0001,0.0001,42,50000,2048,512,CPU,12,outputs/learning_classification/nmnist/20260508_cpu/results/ergo/ergo_nmnist.json,local sanity-scale run; not a full official-split benchmark
nmnist,Learning-based,Matrix-LSTM,100.0,96.24000000000001,0.002009,10,10,32,0.0001,0.0001,42,50000,2048,512,CPU,16,outputs/learning_classification/nmnist/20260508_cpu_matrixlstm/results/matrix_lstm/matrix_lstm_nmnist.json,local sanity-scale run; not a full official-split benchmark
