dataset,task,group,method,method_label,accuracy_pct,best_epoch,epochs_completed,early_stopped,batch_size,lr,weight_decay,seed,device,input_channels,test_samples,protocol,source,note
nmnist,classification,Learning-based,ergo,ERGO,99.24,17,27,True,32,0.0001,0.0001,42,NVIDIA GeForce RTX 4090,12,10000,official/full test split,artifacts/learning_classification/nmnist/20260508_gpu_full_aligned/results/ergo/ergo_nmnist.json,Learning-based representation + ResNet18 classifier
nmnist,classification,Learning-based,est,EST,99.28,16,26,True,32,0.0001,0.0001,42,NVIDIA GeForce RTX 4090,18,10000,official/full test split,artifacts/learning_classification/nmnist/20260508_gpu_full_aligned/results/est/est_nmnist.json,Learning-based representation + ResNet18 classifier
nmnist,classification,Learning-based,event_pretraining,Event Pre-training,98.18,16,26,True,32,0.0001,0.0001,42,NVIDIA GeForce RTX 4090,2,10000,official/full test split,artifacts/learning_classification/nmnist/20260508_gpu_full_aligned/results/event_pretraining/event_pretraining_nmnist.json,Learning-based representation + ResNet18 classifier
nmnist,classification,Learning-based,evrepsl,EvRepSL,98.59,15,25,True,32,0.0001,0.0001,42,NVIDIA GeForce RTX 4090,3,10000,official/full test split,artifacts/learning_classification/nmnist/20260508_gpu_full_aligned/results/evrepsl/evrepsl_nmnist.json,Learning-based representation + ResNet18 classifier
nmnist,classification,Learning-based,get,GET,99.33,23,33,True,32,0.0001,0.0001,42,NVIDIA GeForce RTX 4090,12,10000,official/full test split,artifacts/learning_classification/nmnist/20260508_gpu_full_aligned/results/get/get_nmnist.json,Learning-based representation + ResNet18 classifier
nmnist,classification,Learning-based,matrix_lstm,Matrix-LSTM,99.4,15,25,True,32,0.0001,0.0001,42,NVIDIA GeForce RTX 4090,16,10000,official/full test split,artifacts/learning_classification/nmnist/20260508_gpu_full_aligned/results/matrix_lstm/matrix_lstm_nmnist.json,Learning-based representation + ResNet18 classifier
nmnist,classification,Learning-based,omnievent,OmniEvent,99.0,26,36,True,32,0.0001,0.0001,42,NVIDIA GeForce RTX 4090,8,10000,official/full test split,artifacts/learning_classification/nmnist/20260508_gpu_full_aligned/results/omnievent/omnievent_nmnist.json,Learning-based representation + ResNet18 classifier
