epoch,train_loss,val_aee,best_val_aee,is_best,stale_epochs,early_stopped
1,1.204280059588583,2.37229728102684,2.37229728102684,True,0,False
2,1.1516785339305275,2.4230245113372804,2.37229728102684,False,1,False
3,1.1601056331082393,2.323206889629364,2.323206889629364,True,0,False
4,1.1442782816134,2.270002633333206,2.270002633333206,True,0,False
5,1.1272220548830534,2.3761203706264498,2.270002633333206,False,1,False
6,1.1059369727184898,2.2223652243614196,2.2223652243614196,True,0,False
7,1.113525246319018,2.2107078075408935,2.2107078075408935,True,0,False
8,1.101266202173735,2.203677976131439,2.203677976131439,True,0,False
9,1.047762659035231,2.1674070417881013,2.1674070417881013,True,0,False
10,1.0425407823763395,2.159908044338226,2.159908044338226,True,0,False
11,1.019550853653958,2.122803181409836,2.122803181409836,True,0,False
12,1.0210505880807574,2.156218010187149,2.122803181409836,False,1,False
13,1.0045971462601109,2.1053076803684236,2.1053076803684236,True,0,False
14,0.9827937672012731,2.082158571481705,2.082158571481705,True,0,False
15,0.972161591053009,2.1888419091701508,2.082158571481705,False,1,False
16,0.950166570512872,2.0234106540679933,2.0234106540679933,True,0,False
17,0.9299596736305639,2.0598795652389525,2.0234106540679933,False,1,False
18,0.9509343363736805,2.020522230863571,2.020522230863571,True,0,False
19,0.9240780159046775,1.9805477857589722,1.9805477857589722,True,0,False
20,0.917756133957913,1.963115668296814,1.963115668296814,True,0,False
21,0.902784990636926,1.9990115106105804,1.963115668296814,False,1,False
22,0.8994352943018863,1.9431991934776307,1.9431991934776307,True,0,False
23,0.8885811128114399,2.002662318944931,1.9431991934776307,False,1,False
24,0.8766665239083139,1.9226294457912445,1.9226294457912445,True,0,False
25,0.8755972871654912,2.0112395763397215,1.9226294457912445,False,1,False
26,0.8964909471963581,2.0040242433547975,1.9226294457912445,False,2,False
27,0.8712169747603568,2.0322202026844023,1.9226294457912445,False,3,False
28,0.8807466437942103,1.9043226063251495,1.9043226063251495,True,0,False
29,0.8706367580514205,1.9645788967609406,1.9043226063251495,False,1,False
30,0.8408030585238808,1.9019322395324707,1.9019322395324707,True,0,False
31,0.8627180268889979,1.8799773931503296,1.8799773931503296,True,0,False
32,0.8500570090193498,1.8727883994579315,1.8727883994579315,True,0,False
33,0.8429117610580042,1.8540309906005858,1.8540309906005858,True,0,False
34,0.8393125094865498,1.9045012712478637,1.8540309906005858,False,1,False
35,0.8288240730762482,1.8619455099105835,1.8540309906005858,False,2,False
36,0.8329785936757138,1.8552905917167664,1.8540309906005858,False,3,False
37,0.8244681860271253,1.8722422301769257,1.8540309906005858,False,4,False
38,0.8303657613302532,1.8602797210216522,1.8540309906005858,False,5,False
39,0.8058912957969465,1.8236322402954102,1.8236322402954102,True,0,False
40,0.8370720806874727,1.8730067014694214,1.8236322402954102,False,1,False
41,0.8067707293911984,1.8722509562969207,1.8236322402954102,False,2,False
42,0.8223640950102555,1.9161984741687774,1.8236322402954102,False,3,False
43,0.8048963201673407,1.8105986058712005,1.8105986058712005,True,0,False
44,0.7973363524989078,1.838164633512497,1.8105986058712005,False,1,False
45,0.7931974655703494,1.855535626411438,1.8105986058712005,False,2,False
46,0.7976407016578474,1.7990574479103087,1.7990574479103087,True,0,False
47,0.7934402384256062,1.8223320364952087,1.7990574479103087,False,1,False
48,0.8117662903509641,1.8630830347537994,1.7990574479103087,False,2,False
49,0.7999752163887024,1.813470482826233,1.7990574479103087,False,3,False
50,0.7836462102438274,1.8648269891738891,1.7990574479103087,False,4,False
51,0.774082717142607,1.85644171833992,1.7990574479103087,False,5,False
52,0.7854709970323663,1.8333544909954071,1.7990574479103087,False,6,False
53,0.7567971176222751,1.803497564792633,1.7990574479103087,False,7,False
54,0.7784696017440996,1.8025935888290405,1.7990574479103087,False,8,False
55,0.7740488977808702,1.7810421943664552,1.7810421943664552,True,0,False
56,0.7680830610425848,1.7936570525169373,1.7810421943664552,False,1,False
57,0.7607652137154027,1.8146972954273224,1.7810421943664552,False,2,False
58,0.7554381097617903,1.793679988384247,1.7810421943664552,False,3,False
59,0.7847022288723996,1.7554050445556642,1.7554050445556642,True,0,False
60,0.7623923138568276,1.8116860389709473,1.7554050445556642,False,1,False
61,0.7594594641735679,1.822070449590683,1.7554050445556642,False,2,False
62,0.7619742845234118,1.7923237681388855,1.7554050445556642,False,3,False
63,0.7459703699538582,1.7744584500789642,1.7554050445556642,False,4,False
64,0.7450871028398213,1.8226404249668122,1.7554050445556642,False,5,False
65,0.7343721421141374,1.7453340113162994,1.7453340113162994,True,0,False
66,0.7466406414383336,1.8771295130252839,1.7453340113162994,False,1,False
67,0.7481329033249303,1.7735654532909393,1.7453340113162994,False,2,False
68,0.738973291296708,1.763310146331787,1.7453340113162994,False,3,False
69,0.7454891267575716,1.8118131637573243,1.7453340113162994,False,4,False
70,0.7548473979297438,1.7753548681735993,1.7453340113162994,False,5,False
71,0.76961571135019,1.9039912343025207,1.7453340113162994,False,6,False
72,0.7444430966126291,1.7447699844837188,1.7453340113162994,False,7,False
73,0.7407829039975217,1.8530058205127715,1.7453340113162994,False,8,False
74,0.7411236919854817,1.7525729477405547,1.7453340113162994,False,9,False
75,0.7449309543559426,1.7516720592975616,1.7453340113162994,False,10,True
